FinalDocName,Processing Variable Label ,Location ,Length 
ECOSTR1,Employer premium cost (Plan 1) , 612 - 616 ,5
EMPCSTP1,Percent employer or union pays (Plan 1) , 617 - 619 ,3
PLNMGD1,Type of private plan (Plan 1) ,620,1
HDHP1,High deductible health plan (Plan 1) ,621,1
HSAHRA1,Health Savings Accounts/Health Reimbursement Accounts (plan 1) ,622,1
MGCHMD1,Doctor choice (Plan 1) ,623,1
MGPRMD1,Preferred list (Plan 1) ,624,1
MGPYMD1,Out of plan use (Plan 1) ,625,1
MGPREF1,Private referral (Plan 1) ,626,1
PCPREQ1,Primary care doctor required (Plan 1) ,627,1
PRRXCOV1,Prescription drug benefit (Plan 1) ,628,1
PRDNCOV1,Dental Coverage (Plan 1) ,629,1
PXCHNG,"Marketplace or state exchange, reassigned from public to private ",630,1
PLEXCHPR,"Exchange company coding, NCHS, reassigned from public to private ",631,1
PSTRFPRM,Premium or enrollment fee on plan reassigned from public to private ,632,1
PSSPRINC,Premium based on income on plan reassigned from public to private ,633,1
PSTDOC,"Any dr, chooses from list, dr assigned on plan reassigned from public to private ",634,1
PSTCMD,"Primary care physician for routine care, plan reassigned from public to private ",635,1
PSTREF,Need referral for special care on plan reassigned from public to private ,636,1
WHONAM2,Plan in whose name (Plan 2) ,637,1
PRPOLH2,Relationship to outside policyholder (Plan 2) ,638,1
PRCOOH2,Covered persons outside family roster (Plan 2) ,639,1
PRCTOH2,Number of persons (Plan 2) , 640 - 641 ,2
PRRLOH12,Child including stepchild (Plan 2) ,642,1
PRRLOH22,Spouse (Plan 2) ,643,1
PRRLOH32,Former spouse (Plan 2) ,644,1
PRRLOH42,Some other relationship (Plan 2) ,645,1
PRCNUM2,Number of children covered who live elsewhere (Plan 2) , 646 - 647 ,2
COHU192,Number of children age 0-18 (Plan 2) , 648 - 649 ,2
COH19252,Number of children age 19-25 (Plan 2) , 650 - 651 ,2
COHO252,Number of children age 26+ (Plan 2) , 652 - 653 ,2
PLNWRKR2,How plan was originally obtained (Plan 2) , 654 - 655 ,2
PLNEXCH2,Health Plan obtained through the MarketPlace (Plan 2) ,656,1
EXCHPR2,"Exchange company coding, NCHS (Plan 2) ",657,1
PLNPAY12,Paid for by self or family (Plan 2) ,658,1
PLNPAY22,Paid for by employer or union (Plan 2) ,659,1
PLNPAY32,Paid for by someone outside the household (Plan 2) ,660,1
PLNPAY42,Paid for by Medicare (Plan 2) ,661,1
PLNPAY52,Paid for by Medicaid (Plan 2) ,662,1
PLNPAY62,Paid for by CHIP (Plan 2) ,663,1
PLNPAY72,Paid for by government program (Plan 2) ,664,1
PLNPRE2,Premium based on income (Plan 2) ,665,1
HICOSTR2,Out-of-pocket premium cost (Plan 2) , 666 - 670 ,5
EMPPAY2,Know how much employer or union pays (Plan 2) ,671,1
ECOSTR2,Employer premium cost (Plan 2) , 672 - 676 ,5
EMPCSTP2,Percent employer or union pays (Plan 2) , 677 - 679 ,3
PLNMGD2,Type of private plan (plan 2) ,680,1
HDHP2,High deductible health plan (Plan 2) ,681,1
HSAHRA2,Health Savings Accounts/Health Reimbursement Accounts (plan 2) ,682,1
MGCHMD2,Doctor choice (Plan 2) ,683,1
MGPRMD2,Preferred list (Plan 2) ,684,1
MGPYMD2,Out of plan use (Plan 2) ,685,1
MGPREF2,Private referral (Plan 2) ,686,1
PCPREQ2,Primary care doctor required (Plan 2) ,687,1
PRRXCOV2,Prescription drug benefit (Plan 2) ,688,1
PRDNCOV2,Dental Coverage (Plan 2) ,689,1
PRPLPLUS,Person has more than two private plans ,690,1
FCOVCONF,Obtaining affordable coverage ,691,1
SCHIP,SCHIP coverage recode ,692,1
CHFLG,CHIP reassignment flag ,693,1
CHXCHNG,CHIP Exchange ,694,1
STRFPRM1,CHIP Premium ,695,1
CHPRINC,CHIP Premium based on income ,696,1
STDOC1,"Any doc, chooses from a list, doc assigned (SCHIP) ",697,1
STPCMD1,Primary care physician for routine care (SCHIP) ,698,1
STREF1,Need a referral for special care (SCHIP) ,699,1
OTHPUB,State-sponsored health plan recode ,700,1
OPFLG,Other public reassignment flag ,701,1
OPXCHNG,Other state program Exchange ,702,1
PLEXCHOP,"Exchange company coding, NCHS (OTHPUB) ",703,1
STRFPRM2,Other state program premium ,704,1
SSPRINC,Other state program premium based on income ,705,1
STDOC2,"Any doc, chooses from a list, doc assigned (OTHPUB) ",706,1
STPCMD2,Primary care physician for routine care (OTHPUB) ,707,1
STREF2,Need a referral for special care (OTHPUB) ,708,1
OTHGOV,Other government program recode ,709,1
OGFLG,Other government reassignment flag ,710,1
OGXCHNG,Other government program Exchange ,711,1
PLEXCHOG,"Exchange company coding, NCHS (OTHGOV) ",712,1
STRFPRM3,Other government program Premium ,713,1
OGPRINC,Other government program Premium based on income ,714,1
STDOC3,"Any doc, chooses from a list, doc assigned (OTHGOV) ",715,1
STPCMD3,Primary care physician for routine care (OTHGOV) ,716,1
STREF3,Need a referral for special care (OTHGOV) ,717,1
MILCARE,Military health care coverage recode ,718,1
MILSPC1,TRICARE coverage ,719,1
MILSPC2,VA coverage ,720,1
MILSPC3,CHAMP-VA coverage ,721,1
MILSPC4,Other military coverage ,722,1
MILMAN,Type of TRICARE coverage ,723,1
IHS,Indian Health Service recode ,724,1
HILAST,How long since last had health coverage ,725,1
HISTOP1,Lost job or changed employers ,726,1
HISTOP2,Divorced/sep/death of spouse or parent ,727,1
HISTOP3,Ineligible because of age/left school ,728,1
HISTOP4,Employer does not offer/not eligible for cov ,729,1
HISTOP5,Cost is too high ,730,1
HISTOP6,Insurance company refused coverage ,731,1
HISTOP7,Medicaid/medi plan stopped after pregnancy ,732,1
HISTOP8,Lost Medicaid/new job/increase in income ,733,1
HISTOP9,Lost Medicaid (other) ,734,1
HISTOP10,Other ,735,1
HISTOP11,Never had health insurance ,736,1
HISTOP12,Moved from another county/state/country ,737,1
HISTOP13,Self-employed ,738,1
HISTOP14,No need for it/chooses not to have ,739,1
HISTOP15,Got married ,740,1
HINOTYR,No health coverage during past 12 months ,741,1
HINOTMYR,Months without coverage in past 12 months , 742 - 743 ,2
FHICHNG,Change in coverage in past 12 months ,744,1
FHIKDBA,Had private health insurance coverage in the past 12 months ,745,1
FHIKDBB,Had Medicare coverage in the past 12 months ,746,1
FHIKDBC,Had Medi-Gap coverage in the past 12 months ,747,1
FHIKDBD,Had Medicaid coverage in the past 12 months ,748,1
FHIKDBE,Had SCHIP coverage in the past 12 months ,749,1
FHIKDBF,Had Military health care coverage in the past 12 months ,750,1
FHIKDBG,Had Indian Health Service coverage in the past 12 months ,751,1
FHIKDBH,Had State-sponsored health plan coverage in the past 12 months ,752,1
FHIKDBI,Had Other government program coverage in the past 12 months ,753,1
FHIKDBJ,Had Single service plan coverage in the past 12 months ,754,1
FHIKDBK,Had no coverage in the past 12 months ,755,1
PWRKBR1,How previous private coverage was obtained , 756 - 757 ,2
HCSPFYR,Amount family spent for medical care ,758,1
MEDBILL,Problems paying medical bills ,759,1
MEDBPAY,Medical bills being paid off over time ,760,1
MEDBNOP,Unable to pay medical bills ,761,1
FSA,Flexible Spending Accounts ,762,1
HIKINDNA,Private health insurance ,763,1
HIKINDNB,Medicare ,764,1
HIKINDNC,Medi-Gap ,765,1
HIKINDND,Medicaid ,766,1
HIKINDNE,SCHIP ,767,1
HIKINDNF,Military health care ,768,1
HIKINDNG,Indian Health Service ,769,1
HIKINDNH,State-sponsored health plan ,770,1
HIKINDNI,Other government plan ,771,1
HIKINDNJ,Single service plan ,772,1
HIKINDNK,No coverage of any type ,773,1
MCAREPRB,Medicare coverage probe ,774,1
MCAIDPRB,Medicaid coverage probe ,775,1
SINCOV,Single service plan probe ,776,1
PLBORN,Born in the United States ,777,1
REGIONBR,Geographic region of birth recode , 778 - 779 ,2
GEOBRTH,Geographic place of birth recode ,780,1
YRSINUS,Years that - - has been in the U.S.  ,781,1
CITIZENP,U.S. citizenship status ,782,1
HEADST,Now attending Head Start ,783,1
HEADSTV1,Ever attended Head Start ,784,1
EDUC1,Highest level of school completed , 785 - 786 ,2
ARMFVER,Currently on full-time active duty with the Armed Forces ,787,1
ARMFEV,"Has - - ever served in U.S. Armed Forces, Reserves, or National Guard? ",788,1
ARMFFC,Active duty personnel who served on a humanitarian or peacekeeping mission? ,789,1
ARMFTM1P,"Was - - active duty in the U.S. military in September, 2001 or later? ",790,1
ARMFTM2P,Was - - active duty in U.S. military in Aug 1990 to Aug 2001 (Persian Gulf War)? ,791,1
ARMFTM3P,"Was - - active duty in the U.S. military in May, 1975 to July, 1990? ",792,1
ARMFTM4P,Was - - active duty in U.S. military in Aug 1964 to April 1975 (Vietnam War)? ,793,1
ARMFTM5P,"Was - - active duty in the U.S. military in February, 1955 to July, 1964? ",794,1
ARMFTM6P,Was - - active duty in U.S. military in July 1950 to Jan 1955 (Korean War)? ,795,1
ARMFTM7P,"Was -- active duty in the U.S. military in June, 1950 or earlier? ",796,1
ARMFDS2P,Did - - serve in Desert Shield or Desert Storm between Aug 1990 to Apr 1991? ,797,1
DOINGLWP,What was - - doing last week  ,798,1
WHYNOWKP,Main reason for not working last week , 799 - 800 ,2
WRKHRS2,Hours worked last week , 801 - 802 ,2
WRKFTALL,Usually work full time ,803,1
WRKLYR1,Work for pay last year ,804,1
WRKMYR,Months worked last year , 805 - 806 ,2
ERNYR_P,Total earnings last year , 807 - 808 ,2
HIEMPOF,Health insurance offered at workplace ,809,1
FINCINT,Introduction to the family income section ,810,1
PSAL,Received income from wages or salary (last CY) ,811,1
PSEINC,Received income from self-employment (last CY) ,812,1
PSSRR,Received income from Social Security or Railroad Retirement (last CY) ,813,1
PSSRRDB,Received Social Security or Railroad Retirement income as a disability benefit ,814,1
PSSRRD,Received benefit due to disability ,815,1
PPENS,Received income from disability pension exp. Soc Security or Railroad Retirement ,816,1
POPENS,Received income from any other pension ,817,1
PSSI,Received income from SSI ,818,1
PSSID,Received SSI due to disability ,819,1
PTANF,"Received income from a state or county welfare program (e.g., TANF) ",820,1
POWBEN,Received other government assistance ,821,1
PINTRSTR,Received interest income ,822,1
PDIVD,"Received dividends from stocks, funds, etc. ",823,1
PCHLDSP,Received income from child support ,824,1
PINCOT,Received income from any other source ,825,1
PSSAPL,Ever applied for Supplemental Security Income (SSI) ,826,1
PSDAPL,Ever applied for Social Security Disability Insurance (SSDI) ,827,1
TANFMYR,Months received welfare/TANF (last CY) , 828 - 829 ,2
ELIGPWIC,Anyone age-eligible for the WIC program? ,830,1
PWIC,Received WIC benefits ,831,1
WIC_FLAG,WIC recipient age-eligible ,832,1
ENGLANG,How well English is spoken ,833,1
