Question#,Recode,InstrumentVariableName,FinalDocName,ProcessingVariableLabel,Location,Length
ALT.302_13.000,,AHBLSM01-AHBLSM22,AHBLSM13,"Taken glucosamine, past 30 days",373,1
ALT.302_14.000,,AHBLSM01-AHBLSM22,AHBLSM14,"Taken green tea pills or EGCG pills, past 30 days",374,1
ALT.302_15.000,,AHBLSM01-AHBLSM22,AHBLSM15,"Taken melatonin, past 30 days",375,1
ALT.302_16.000,,AHBLSM01-AHBLSM22,AHBLSM16,"Taken milk thistle (silymarin), past 30 days",376,1
ALT.302_17.000,,AHBLSM01-AHBLSM22,AHBLSM17,"Taken MSM (methylsulfonylmethane), past 30 days",377,1
ALT.302_18.000,,AHBLSM01-AHBLSM22,AHBLSM18,"Taken probiotics or prebiotics, past 30 days",378,1
ALT.302_19.000,,AHBLSM01-AHBLSM22,AHBLSM19,"Taken SAM-e, past 30 days",379,1
ALT.302_20.000,,AHBLSM01-AHBLSM22,AHBLSM20,"Taken saw palmetto, past 30 days",380,1
ALT.302_21.000,,AHBLSM01-AHBLSM22,AHBLSM21,"Taken valerian, past 30 days",381,1
ALT.302_22.000,,AHBLSM01-AHBLSM22,AHBLSM22,"Taken other herb or non-vitamin supplement, past 30 days",382,1
ALT.303_00.000,,AHB_CHPN,AHB_CHPN,Number of different combination herb pills taken,383 - 384,2
ALT.304_02.000,,AHBCP102-AHBCP122,AHBCP102,First combination herb pill taken included: acai,385,1
ALT.304_03.000,,AHBCP102-AHBCP122,AHBCP103,First combination herb pill taken included: bee pollen or other bee products,386,1
ALT.304_04.000,,AHBCP102-AHBCP122,AHBCP104,First combination herb pill taken included: chondroitin,387,1
ALT.304_05.000,,AHBCP102-AHBCP122,AHBCP105,First combination herb pill taken included: co-enzyme Q10 (CoQ10),388,1
ALT.304_06.000,,AHBCP102-AHBCP122,AHBCP106,First combination herb pill taken included: cranberry,389,1
ALT.304_07.000,,AHBCP102-AHBCP122,AHBCP107,First combination herb pill taken included: digestive enzymes,390,1
ALT.304_08.000,,AHBCP102-AHBCP122,AHBCP108,First combination herb pill taken included: echinacea,391,1
ALT.304_09.000,,AHBCP102-AHBCP122,AHBCP109,"First combination herb pill taken included: fish oil (or omega 3, DHA, or EPA fatty acid)",392,1
ALT.304_10.000,,AHBCP102-AHBCP122,AHBCP110,First combination herb pill taken included: garlic,393,1
ALT.304_11.000,,AHBCP102-AHBCP122,AHBCP111,First combination herb pill taken included: ginkgo biloba,394,1
ALT.304_12.000,,AHBCP102-AHBCP122,AHBCP112,First combination herb pill taken included: ginseng,395,1
ALT.304_13.000,,AHBCP102-AHBCP122,AHBCP113,First combination herb pill taken included: glucosamine,396,1
ALT.304_14.000,,AHBCP102-AHBCP122,AHBCP114,First combination herb pill taken included: green tea or EGCG,397,1
ALT.304_15.000,,AHBCP102-AHBCP122,AHBCP115,First combination herb pill taken included: melatonin,398,1
ALT.304_16.000,,AHBCP102-AHBCP122,AHBCP116,First combination herb pill taken included: milk thistle (silymarin),399,1
ALT.304_17.000,,AHBCP102-AHBCP122,AHBCP117,First combination herb pill taken included: MSM (methylsulfonylmethane),400,1
ALT.304_18.000,,AHBCP102-AHBCP122,AHBCP118,First combination herb pill taken included: probiotics or prebiotics,401,1
ALT.304_19.000,,AHBCP102-AHBCP122,AHBCP119,First combination herb pill taken included: SAM-e,402,1
ALT.304_20.000,,AHBCP102-AHBCP122,AHBCP120,First combination herb pill taken included: saw palmetto,403,1
ALT.304_21.000,,AHBCP102-AHBCP122,AHBCP121,First combination herb pill taken included: valerian,404,1
ALT.304_22.000,,AHBCP102-AHBCP122,AHBCP122,First combination herb pill taken included: other herbs or non-vitamin supplements,405,1
ALT.305_02.000,,AHBCP202-AHBCP222,AHBCP202,Second combination herb pill taken included: acai,406,1
ALT.305_03.000,,AHBCP202-AHBCP222,AHBCP203,Second combination herb pill taken included: bee pollen or other bee products,407,1
ALT.305_04.000,,AHBCP202-AHBCP222,AHBCP204,Second combination herb pill taken included: chondroitin,408,1
ALT.305_05.000,,AHBCP202-AHBCP222,AHBCP205,Second combination herb pill taken included: co-enzyme Q10 (CoQ10),409,1
ALT.305_06.000,,AHBCP202-AHBCP222,AHBCP206,Second combination herb pill taken included: cranberry,410,1
ALT.305_07.000,,AHBCP202-AHBCP222,AHBCP207,Second combination herb pill taken included: digestive enzymes,411,1
ALT.305_08.000,,AHBCP202-AHBCP222,AHBCP208,Second combination herb pill taken included: echinacea,412,1
ALT.305_09.000,,AHBCP202-AHBCP222,AHBCP209,"Second combination herb pill taken included: fish oil (or omega 3, DHA, or EPA fatty acid)",413,1
ALT.305_10.000,,AHBCP202-AHBCP222,AHBCP210,Second combination herb pill taken included: garlic,414,1
ALT.305_11.000,,AHBCP202-AHBCP222,AHBCP211,Second combination herb pill taken included: ginkgo biloba,415,1
ALT.305_12.000,,AHBCP202-AHBCP222,AHBCP212,Second combination herb pill taken included: ginseng,416,1
ALT.305_13.000,,AHBCP202-AHBCP222,AHBCP213,Second combination herb pill taken included: glucosamine,417,1
ALT.305_14.000,,AHBCP202-AHBCP222,AHBCP214,Second combination herb pill taken included: green tea or EGCG,418,1
ALT.305_15.000,,AHBCP202-AHBCP222,AHBCP215,Second combination herb pill taken included: melatonin,419,1
ALT.305_16.000,,AHBCP202-AHBCP222,AHBCP216,Second combination herb pill taken included: milk thistle (silymarin),420,1
ALT.305_17.000,,AHBCP202-AHBCP222,AHBCP217,Second combination herb pill taken included: MSM (methylsulfonylmethane),421,1
ALT.305_18.000,,AHBCP202-AHBCP222,AHBCP218,Second combination herb pill taken included: probiotics or prebiotics,422,1
ALT.305_19.000,,AHBCP202-AHBCP222,AHBCP219,Second combination herb pill taken included: SAM-e,423,1
ALT.305_20.000,,AHBCP202-AHBCP222,AHBCP220,Second combination herb pill taken included: saw palmetto,424,1
ALT.305_21.000,,AHBCP202-AHBCP222,AHBCP221,Second combination herb pill taken included: valerian,425,1
ALT.305_22.000,,AHBCP202-AHBCP222,AHBCP222,Second combination herb pill taken included: other herbs or non-vitamin supplements,426,1
ALT.306_00.000,,AHB_MOTH,AHB_MOTH,"Number of other herbs or non-vitamin supplements taken, past 30 days",427 - 428,2
ALT.307_01.000,,AHB_LU1C,AHB_LU1C,"Name of the first herb or non-vitamin supplement taken, past 30 days",429 - 431,3
ALT.308_01.000,,AHB_LU2C,AHB_LU2C,"Name of the second herb or non-vitamin supplement taken, past 30 days",432 - 434,3
ALT.310_00.000,,AHB_TP21,AHB_TP21,First of the top two herbal supplements taken most often,435 - 436,2
ALT.311_00.000,,AHB_TP22,AHB_TP22,Second of the top two herbal supplements taken most often,437 - 438,2
ALT.312_00.000,,AHB_EVR1,AHB_EVR1,Ever seen a practitioner for herbs or other non-vitamin supplements,439,1
ALT.313_00.000,,AHB_USE1,AHB_USE1,"Saw a practitioner for herbs or other non-vitamin supplements, past 12 months",440,1
ALT.314_00.000,,AVT_BOFN,AVT_BOFN,"Number of times per week, month, or year bought vitamins and minerals",441 - 443,3
ALT.315_00.000,,AVT_BOFT,AVT_BOFT,Time period for how often vitamins and minerals were bought,444,1
ALT.316_00.000,,AVT_CST1,AVT_CST1,Approximate cost paid for last purchase of vitamins or minerals,445 - 448,4
ALT.317_00.000,,AHB_BOFN,AHB_BOFN,"Number of times per week, month, or year bought herbs or other non-vitamin supplements",449 - 451,3
ALT.318_00.000,,AHB_BOFT,AHB_BOFT,Time period for how often herbs or other non-vitamin supplements were bought,452,1
ALT.319_00.000,,AHB_CST1,AHB_CST1,Approximate cost paid for last purchase of vitamins or minerals,453 - 456,4
ALT.320_00.000,,AHB_PTIM,AHB_PTIM,"Knows exact number of times saw a practitioner for herbs or other non-vitamin supplements, past 12 months",457,1
ALT.321_00.000,,AHB_TMNO,AHB_TMNO,"Exact number of times saw a practitioner for herbs or other non-vitamin supplements, past 12 months",458 - 459,2
ALT.322_00.000,,AHB_TMCT,AHB_TMCT,"Approximate number of times saw a practitioner for herbs or other non-vitamin supplements, past 12 months",460 - 461,2
ALT.323_00.000,,AHB_HIC,AHB_HIC,Any cost of seeing a practitioner for herbs or other non-vitamin supplements was covered by insurance,462,1
ALT.324_00.000,,AHB_HICA,AHB_HICA,Portion of the cost of seeing practitioner for herbs or other non-vitamin supplements covered by insurance,463,1
ALT.325_00.000,,AHB_HIT,AHB_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for herbs or other non-vitamin supplements,464,1
ALT.326_00.000,,AHB_HITS,AHB_HITS,Total amount paid out-of-pocket for seeing a practitioner for herbs or other non-vitamin supplements,465 - 469,5
ALT.327_00.000,,AHB_AVGC,AHB_AVGC,Knows average amount paid out-of-pocket per visit for herbs or other non-vitamin supplements,470,1
ALT.328_00.000,,AHB_AVGS,AHB_AVGS,Average out-of-pocket cost paid for each visit for herbs or other non-vitamin supplements,471 - 473,3
ALT.329_00.000,,AHB_MAT,AHB_MAT,Bought self-help book or other materials to learn about herbs or other non-vitamin supplements,474,1
ALT.330_00.000,,AHB_MATC,AHB_MATC,Amount paid for self-help book or other materials to learn about herbs or other non-vitamin supplements,475 - 477,3
ALT.340_00.000,,HOM_USE,HOM_USE,"Used homeopathy for health, ever",478,1
ALT.341_00.000,,HOM_USM,HOM_USM,"Used homeopathy for health, past 12 months",479,1
ALT.342_00.000,,HOM_OFTN,HOM_OFTN,"Number of times per week, month, or year bought homeopathic medicine",480 - 482,3
ALT.343_00.000,,HOM_OFTT,HOM_OFTT,Time period for how often homeopathic medicine was bought,483,1
ALT.344_00.000,,HOM_COST,HOM_COST,Approximate cost paid for last purchase of homeopathic medicine,484 - 487,4
ALT.345_00.000,,HOM_EVER,HOM_EVER,"Saw a practitioner for homeopathy, ever",488,1
ALT.346_00.000,,HOM_USEM,HOM_USEM,"Saw a practitioner for homeopathy, past 12 months",489,1
ALT.347_00.000,,HOM_PTIM,HOM_PTIM,"Knows exact number of times saw a practitioner for homeopathy, past 12 months",490,1
ALT.348_00.000,,HOM_TMNO,HOM_TMNO,"Exact number of times saw a practitioner for homeopathy, past 12 months",491 - 492,2
ALT.349_00.000,,HOM_TMCT,HOM_TMCT,"Approximate number of times saw a practitioner for homeopathy, past 12 months",493 - 494,2
ALT.350_00.000,,HOM_HIC,HOM_HIC,Any cost of seeing practitioner for homeopathy was covered by insurance,495,1
ALT.351_00.000,,HOM_HICA,HOM_HICA,Portion of the cost of seeing practitioner for homeopathy covered by insurance,496,1
ALT.352_00.000,,HOM_HIT,HOM_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for homeopathy,497,1
ALT.353_00.000,,HOM_HITS,HOM_HITS,Total amount paid out-of-pocket for seeing a practitioner for homeopathy,498 - 502,5
ALT.354_00.000,,HOM_AVGC,HOM_AVGC,Knows average amount paid out-of-pocket per visit for homeopathy,503,1
ALT.355_00.000,,HOM_AVGS,HOM_AVGS,Average out-of-pocket cost paid for each homeopathy visit,504 - 506,3
ALT.356_00.000,,HOM_MAT,HOM_MAT,Bought self-help book or other materials to learn about homeopathy,507,1
ALT.357_00.000,,HOM_MATC,HOM_MATC,Amount paid for self-help book or other materials to learn about homeopathy,508 - 510,3
ALT.367_00.000,,MBO_USE,MBO_USE,"Used meditation, guided imagery, or progressive relaxation for health, ever",511,1
ALT.368_00.000,,MBOE_MAN,MBOE_MAN,Ever used mantra meditation,512,1
ALT.369_00.000,,MBOE_MND,MBOE_MND,Ever used mindfulness meditation,513,1
ALT.370_00.000,,MBOE_SPR,MBOE_SPR,Ever used spiritual meditation,514,1
ALT.371_00.000,,MBOE_IMG,MBOE_IMG,Ever used guided imagery,515,1
ALT.372_00.000,,MBOE_PRO,MBOE_PRO,Ever used progressive relaxation,516,1
ALT.373_00.000,,MBOU_MAN,MBOU_MAN,"Used mantra meditation, past 12 months",517,1
ALT.374_00.000,,MBOU_MND,MBOU_MND,"Used mindfulness meditation, past 12 months",518,1
ALT.375_00.000,,MBOU_SPR,MBOU_SPR,"Used spiritual meditation, past 12 months",519,1
ALT.376_00.000,,MBOU_IMG,MBOU_IMG,"Used guided imagery, past 12 months",520,1
ALT.377_00.000,,MBOU_PRO,MBOU_PRO,"Used progressive relaxation, past 12 months",521,1
ALT.377_00.010,,MBO_CNT,MBO_CNT,Count variable for mind-body therapy,522 - 524,3
ALT.378_00.000,,MBO_MST1,MBO_MST1,"Type of mind-body therapy used the most, past 12 months",525,1
ALT.379_00.000,,MBO_BRTH,MBO_BRTH,Did breathing exercises as part of mind-body therapy,526,1
ALT.380_00.000,,MBO_USEM,MBO_USEM,"Saw a practitioner for mind-body therapy, past 12 months",527,1
ALT.381_00.000,,MBO_PTIM,MBO_PTIM,"Knows exact number of times saw practitioner for mind-body therapy, past 12 months",528,1
ALT.382_00.000,,MBO_TMNO,MBO_TMNO,"Exact number of times saw practitioner for mind-body therapy, past 12 months",529 - 530,2
ALT.383_00.000,,MBO_TMCT,MBO_TMCT,"Approximate number of times saw practitioner for mind-body therapy, past 12 months",531 - 532,2
ALT.384_00.000,,MBO_HIC,MBO_HIC,Any cost of seeing a practitioner or taking a class for mind-body therapy was covered by insurance,533,1
ALT.385_00.000,,MBO_HICA,MBO_HICA,Portion of the cost of seeing a practitioner or taking a class for mind-body therapy covered by insurance,534,1
ALT.386_00.000,,MBO_HIT,MBO_HIT,Knows total amount paid out-of-pocket for seeing a practitioner or taking a class for mind-body therapy,535,1
ALT.387_00.000,,MBO_HITS,MBO_HITS,Total amount paid out-of-pocket for seeing a practitioner or taking a class for mind-body therapy,536 - 540,5
ALT.388_00.000,,MBO_AVGC,MBO_AVGC,Knows average amount paid out-of-pocket per visit or class for mind-body therapy,541,1
ALT.389_00.000,,MBO_AVGS,MBO_AVGS,Average amount paid out-of-pocket per visit or class for mind-body therapy,542 - 544,3
ALT.390_00.000,,MBO_MAT,MBO_MAT,Bought self-help book or other material to learn about mind-body therapy,545,1
ALT.391_00.000,,MBO_MATC,MBO_MATC,Amount paid for self-help book or other material to learn about mind-body therapy,546 - 548,3
ALT.401_00.000,,YTQE_YOG,YTQE_YOG,Ever practiced yoga,549,1
ALT.402_00.000,,YTQE_TAI,YTQE_TAI,Ever practiced tai chi,550,1
ALT.403_00.000,,YTQE_QIG,YTQE_QIG,Ever practiced qi gong,551,1
ALT.404_00.000,,YTQU_YOG,YTQU_YOG,"Practiced yoga, past 12 months",552,1
ALT.405_00.000,,YTQU_TAI,YTQU_TAI,"Practiced tai chi, past 12 months",553,1
ALT.406_00.000,,YTQU_QIG,YTQU_QIG,"Practiced qi gong, past 12 months",554,1
ALT.407_00.010,,YTQ_BTHY,YTQ_BTHY,Does breathing exercises as part of yoga,555,1
ALT.408_00.020,,YTQ_BTHT,YTQ_BTHT,Does breathing exercises as part of tai chi,556,1
ALT.409_00.030,,YTQ_BTHQ,YTQ_BTHQ,Does breathing exercises as part of qi gong,557,1
ALT.410_00.010,,YTQ_MEDY,YTQ_MEDY,Does meditation as part of yoga,558,1
ALT.411_00.020,,YTQ_MEDT,YTQ_MEDT,Does meditation as part of tai chi,559,1
ALT.412_00.030,,YTQ_MEDQ,YTQ_MEDQ,Does meditation as part of qi gong,560,1
ALT.412_00.040,,YTQ_CNT,YTQ_CNT,Number of yoga/tai chi/qi gong therapies used,561 - 563,3
ALT.413_00.000,,YTQ_MOST,YTQ_MOST,"Type of exercise practiced the most, past 12 months",564,1
ALT.414_00.000,,YTQ_USEM,YTQ_USEM,"Took a class or received formal training for yoga/tai chi/qi gong, past 12 months",565,1
ALT.415_00.000,,YTQ_PTIM,YTQ_PTIM,"Knows exact number of times saw an instructor for yoga/tai chi/qi gong, past 12 months",566,1
ALT.416_00.000,,YTQ_TMNO,YTQ_TMNO,"Exact number of times saw an instructor for yoga/tai chi/qi gong, past 12 months",567 - 568,2
ALT.417_00.000,,YTQ_TMCT,YTQ_TMCT,"Approximate number of times saw an instructor for yoga/tai chi/qi gong, past 12 months",569 - 570,2
ALT.418_00.000,,YTQ_HIC,YTQ_HIC,Any cost of seeing an instructor for yoga/tai chi/qi gong was covered by insurance,571,1
ALT.419_00.000,,YTQ_HICA,YTQ_HICA,Portion of the cost of seeing an instructor for yoga/tai chi/qi gong covered by insurance,572,1
ALT.420_00.000,,YTQ_HIT,YTQ_HIT,Knows total amount paid out-of-pocket for seeing an instructor for yoga/tai chi/qi gong,573,1
ALT.421_00.000,,YTQ_HITS,YTQ_HITS,Total amount paid out-of-pocket for seeing an instructor for yoga/tai chi/qi gong,574 - 578,5
ALT.422_00.000,,YTQ_AVGC,YTQ_AVGC,Knows average amount paid out-of-pocket per visit for seeing an instructor for yoga/tai chi/qi gong,579,1
ALT.423_00.000,,YTQ_AVGS,YTQ_AVGS,Average amount paid out-of-pocket per visit for seeing an instructor for yoga/tai chi/qi gong,580 - 582,3
ALT.424_00.000,,YTQ_MAT,YTQ_MAT,Bought self-help book or other material to learn about yoga/tai chi/qi gong,583,1
ALT.425_00.000,,YTQ_MATC,YTQ_MATC,Amount paid for self-help book or other material to learn about yoga/tai chi/qi gong,584 - 586,3
ALT.435_00.000,,DITE_VEG,DITEVER1,Ever used vegetarian (including vegan) diet for two weeks or more for health reasons,587,1
ALT.436_00.000,,DITEVER2,DITEVER2,Ever used macrobiotic diet for two weeks or more for health reasons,588,1
ALT.437_00.000,,DITEVER3,DITEVER3,Ever used atkins diet for two weeks or more for health reasons,589,1
ALT.438_00.000,,DITEVER4,DITEVER4,Ever used pritikin diet for two weeks or more for health reasons,590,1
ALT.439_00.000,,DITEVER5,DITEVER5,Ever used ornish diet for two weeks or more for health reasons,591,1
ALT.440_00.000,,DIT_USM1,DIT_USM1,"Used vegetarian diet for two weeks or more for health reasons, past 12 months",592,1
ALT.441_00.000,,DIT_USM2,DIT_USM2,"Used macrobiotic diet for two weeks or more for health reasons, past 12 months",593,1
ALT.442_00.000,,DIT_USM3,DIT_USM3,"Used atkins diet for two weeks or more for health reasons, past 12 months",594,1
ALT.443_00.000,,DIT_USM4,DIT_USM4,"Used pritikin diet for two weeks or more for health reasons, past 12 months",595,1
ALT.444_00.000,,DIT_USM5,DIT_USM5,"Used ornish diet for two weeks or more for health reasons, past 12 months",596,1
ALT.445_00.000,,DIT_WGT1,DIT_WGT1,Used special diets for weight control or weight loss,597,1
ALT.446_00.000,,DIT_PRE,DIT_PRE,Ever saw a practitioner for special diets,598,1
ALT.447_00.000,,DIT_PRU,DIT_PRU,"Saw a practitioner for special diets, past 12 months",599,1
ALT.448_00.000,,DIT_PTIM,DIT_PTIM,"Knows exact number of times saw a practitioner for special diets, past 12 months",600,1
ALT.449_00.000,,DIT_TMNO,DIT_TMNO,"Exact number of times saw a practitioner for special diets, past 12 months",601 - 602,2
ALT.450_00.000,,DIT_TMCT,DIT_TMCT,"Approximate number of times saw a practitioner for special diets, past 12 months",603 - 604,2
ALT.451_00.000,,DIT_HIC,DIT_HIC,Any cost of seeing practitioner for special diets was covered by insurance,605,1
ALT.452_00.000,,DIT_HICA,DIT_HICA,Portion of the cost of seeing practitioner for special diets covered by insurance,606,1
ALT.453_00.000,,DIT_HIT,DIT_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for special diets,607,1
ALT.454_00.000,,DIT_HITS,DIT_HITS,Total amount paid out-of-pocket for seeing a practitioner for special diets,608 - 612,5
ALT.455_00.000,,DIT_AVGC,DIT_AVGC,Knows average amount paid out-of-pocket per visit for seeing a practitioner for special diets,613,1
ALT.456_00.000,,DIT_AVGS,DIT_AVGS,Average amount paid out-of-pocket per visit for seeing a practitioner for special diets,614 - 616,3
ALT.457_00.000,,DIT_MAT,DIT_MAT,Bought self-help book or other materials to learn about special diets,617,1
ALT.458_00.000,,DIT_MATC,DIT_MATC,Amount paid for self-help book or other materials to learn about special diets,618 - 620,3
ALT.468_00.000,,MOVE_FLD,MOVE_FLD,Ever practiced Feldenkrais,621,1
ALT.469_00.000,,MOVE_ALX,MOVE_ALX,Ever practiced Alexander Technique,622,1
ALT.470_00.000,,MOVE_PIL,MOVE_PIL,Ever practiced Pilates,623,1
ALT.471_00.000,,MOVE_TPI,MOVE_TPI,Ever practiced Trager Psychophysical Integration,624,1
ALT.472_00.000,,MOVP_FLD,MOVP_FLD,Ever seen a practitioner for Feldenkrais,625,1
ALT.473_00.000,,MOVP_ALX,MOVP_ALX,Ever seen a practitioner for Alexander Technique,626,1
ALT.474_00.000,,MOVP_PIL,MOVP_PIL,Ever seen a practitioner for Pilates,627,1
ALT.475_00.000,,MOVP_TPI,MOVP_TPI,Ever seen a practitioner for Trager Psychophysical Integration,628,1
ALT.476_00.000,,MOV_FLD,MOV_FLD,"Saw a practitioner for Feldnekrais, past 12 months",629,1
ALT.477_00.000,,MOV_ALX,MOV_ALX,"Saw a practitioner for Alexander Technique, past 12 months",630,1
ALT.478_00.000,,MOV_PIL,MOV_PIL,"Saw a practitioner for Pilates, past 12 months",631,1
ALT.479_00.000,,MOV_TPI,MOV_TPI,"Saw a practitioner for Trager Psychophysical Integration, past 12 months",632,1
ALT.480_00.000,,MOVU_FLD,MOVU_FLD,"Used Feldenkrais, past 12 months",633,1
ALT.481_00.000,,MOVU_ALX,MOVU_ALX,"Used Alexander Technique, past 12 months",634,1
ALT.482_00.000,,MOVU_PIL,MOVU_PIL,"Used Pilates, past 12 months",635,1
ALT.483_00.000,,MOVU_TPI,MOVU_TPI,"Used Trager Psychophysical Integration, past 12 months",636,1
ALT.484_00.000,,MOV_PTIM,MOV_PTIM,"Knows exact number of times saw practitioner/teacher for movement and exercise techniques, past 12 months",637,1
ALT.485_00.000,,MOV_TMNO,MOV_TMNO,Exact number of times saw practitioner/teacher for movement and exercise,638 - 639,2
ALT.486_00.000,,MOV_TMCT,MOV_TMCT,"Approximate number of times saw practitioner/teacher for movement and exercise techniques, past 12 months",640 - 641,2
ALT.487_00.000,,MOV_HIC,MOV_HIC,Any cost of seeing a practitioner/teacher for movement and exercise techniques was covered by insurance,642,1
ALT.488_00.000,,MOV_HICA,MOV_HICA,Portion of the cost of seeing a practitioner/teacher for movement and exercise techniques covered by insurance,643,1
ALT.489_00.000,,MOV_HIT,MOV_HIT,Knows total amount paid out-of-pocket for seeing a practitioner/teacher for movement and exercise techniques,644,1
ALT.490_00.000,,MOV_HITS,MOV_HITS,Total amount paid out-of-pocket for seeing a practitioner/teacher for movement and exercise techniques,645 - 649,5
ALT.491_00.000,,MOV_AVGC,MOV_AVGC,Knows average amount paid out-of-pocket per visit for seeing a practitioner/teacher for movement and exercise techniques,650,1
ALT.492_00.000,,MOV_AVGS,MOV_AVGS,Average amount paid out-of-pocket per visit for seeing a practitioner/teacher for movement and exercise techniques,651 - 653,3
ALT.493_00.000,,MOV_MAT,MOV_MAT,Bought self-help book or other materials to learn about movement and exercise techniques,654,1
ALT.494_00.000,,MOV_MATC,MOV_MATC,Amount paid for self-help book or other materials to learn about movement and exercise techniques,655 - 657,3
ALT.500_00.000,,ALT_CNT,ALT_CNT,Count variable for number of complementary and alternative therapies used,658 - 659,2
ALT.505_00.000,,ALT_TP31,ALT_TP31,First of top 3 most important therapies,660 - 661,2
ALT.506_00.000,,ALT_TP32,ALT_TP32,Second of top 3 most important therapies,662 - 663,2
ALT.507_00.000,,ALT_TP33,ALT_TP33,Third of top 3 most important therapies,664 - 665,2
ALT.510_00.000,,TP1_REA1,TP1_REA1,Used/saw practitioner for first top therapy: for general wellness or general disease prevention,666,1
ALT.511_00.000,,TP1_REA2,TP1_REA2,Used/saw practitioner for first top therapy: to improve energy,667,1
ALT.512_00.000,,TP1_REA3,TP1_REA3,Used/saw practitioner for first top therapy: to improve immune function,668,1
ALT.513_00.000,,TP1_REA4,TP1_REA4,Used/saw practitioner for first top therapy: to improve athletic or sports performance,669,1
ALT.514_00.000,,TP1_REA5,TP1_REA5,Used/saw practitioner for first top therapy: to improve memory or concentration,670,1
ALT.515_00.000,,TP1_MOT1,TP1_MOT1,Using/seeing practitioner for first top therapy was motivation to: eat healthier,671,1
ALT.516_00.000,,TP1_MOT2,TP1_MOT2,Using/seeing practitioner for first top therapy was motivation to: eat more organic foods,672,1
ALT.517_00.000,,TP1_MOT3,TP1_MOT3,Using/seeing practitioner for first top therapy was motivation to: cut back or stop drinking alcohol,673,1
ALT.518_00.000,,TP1_MOT4,TP1_MOT4,Using/seeing practitioner for first top therapy was motivation to: cut back or stop smoking cigarettes,674,1
ALT.519_00.000,,TP1_MOT5,TP1_MOT5,Using/seeing practitioner for first top therapy was motivation to: exercise more regularly,675,1
ALT.520_00.000,,TP1_OUT1,TP1_OUT1,Using/seeing practitioner for first top therapy: gave a sense of control over one's health,676,1
ALT.521_00.000,,TP1_OUT2,TP1_OUT2,Using/seeing practitioner for first top therapy led to: reduced stress level or relaxation,677,1
ALT.522_00.000,,TP1_OUT3,TP1_OUT3,Using/seeing practitioner for first top therapy led to: better sleep,678,1
ALT.523_00.000,,TP1_OUT4,TP1_OUT4,Using/seeing practitioner for first therapy led to: feeling better emotionally,679,1
ALT.524_00.000,,TP1_OUT5,TP1_OUT5,Using/seeing practitioner for first top therapy led to: made it easier to cope with health problems,680,1
ALT.525_00.000,,TP1_OUT6,TP1_OUT6,Using/seeing practitioner for first top therapy led to: improved overall health and feeling better,681,1
ALT.526_00.000,,TP1_OUT7,TP1_OUT7,Using/seeing practitioner for first top therapy led to: improved relationships with others,682,1
ALT.527_00.000,,TP1_OUT8,TP1_OUT8,Using/seeing practitioner for first top therapy led to: improved attendance at job or school,683,1
ALT.528_00.000,,TP1_MOST,TP1_MOST,Most important reason for using first top therapy,684 - 685,2
ALT.529_00.000,,TP1_HELP,TP1_HELP,How much first top therapy helped with the most important reason for its use,686,1
ALT.530_00.000,,TP1_TRET,TP1_TRET,Used first top therapy for specific health problem(s),687,1
ALT.531_01.000,,TP1CND01-TP1CND86,TP1CND01,Used first top therapy for: abdominal pain,688,1
ALT.531_02.000,,TP1CND01-TP1CND86,TP1CND02,Used first top therapy for: acid reflux or heartburn,689,1
ALT.531_03.000,,TP1CND01-TP1CND86,TP1CND03,"Used first top therapy for: feeling anxious, nervous, or worried",690,1
ALT.531_04.000,,TP1CND01-TP1CND86,TP1CND04,Used first top therapy for: asthma,691,1
ALT.531_05.000,,TP1CND01-TP1CND86,TP1CND05,Used first top therapy for: arthritis,692,1
ALT.531_06.000,,TP1CND01-TP1CND86,TP1CND06,Used first top therapy for: attention deficit disorder/hyperactivity,693,1
ALT.531_07.000,,TP1CND01-TP1CND86,TP1CND07,"Used first top therapy for: benign tumors, cysts",694,1
ALT.531_08.000,,TP1CND01-TP1CND86,TP1CND08,Used first top therapy for: bipolar disorder,695,1
ALT.531_09.000,,TP1CND01-TP1CND86,TP1CND09,Used first top therapy for: birth defect,696,1
ALT.531_10.000,,TP1CND01-TP1CND86,TP1CND10,Used first top therapy for: cancer,697,1
ALT.531_11.000,,TP1CND01-TP1CND86,TP1CND11,Used first top therapy for: high cholesterol,698,1
ALT.531_12.000,,TP1CND01-TP1CND86,TP1CND12,Used first top therapy for: chronic bronchitis,699,1
ALT.531_13.000,,TP1CND01-TP1CND86,TP1CND13,Used first top therapy for: circulation problems (other than in the legs),700,1
ALT.531_14.000,,TP1CND01-TP1CND86,TP1CND14,Used first top therapy for: coronary heart disease,701,1
ALT.531_15.000,,TP1CND01-TP1CND86,TP1CND15,Used first top therapy for: dental pain,702,1
ALT.531_16.000,,TP1CND01-TP1CND86,TP1CND16,Used first top therapy for: depression,703,1
ALT.531_17.000,,TP1CND01-TP1CND86,TP1CND17,Used first top therapy for: diabetes,704,1
ALT.531_18.000,,TP1CND01-TP1CND86,TP1CND18,Used first top therapy for: digestive allergy,705,1
ALT.531_19.000,,TP1CND01-TP1CND86,TP1CND19,Used first top therapy for: excessive sleepiness during the day,706,1
